Users,Items
2122020-08-14,"[154, 156]"
892020-09-22,"[2, 22]"
892020-09-23,"[2, 123, 123]"
22052020-10-02,[107]
892020-09-21,"[2, 123]"
892020-09-26,"[100, 105]"
892020-09-27,"[2, 123]"
892020-09-24,[2]
892020-09-25,"[2, 74, 169]"
892020-09-28,[2]
9792020-11-18,[138]
2242020-10-19,"[12, 154]"
2242020-10-18,[169]
12812020-10-27,"[128, 157]"
3782020-09-15,"[123, 139, 154]"
3782020-09-14,"[74, 146, 151]"
3782020-09-17,[128]
4782020-11-29,"[142, 154]"
3782020-09-11,"[15, 99]"
3782020-09-10,"[26, 93]"
3782020-09-13,[156]
3782020-09-12,"[76, 148, 151]"
9252020-09-02,[76]
4782020-11-23,"[12, 20, 141]"
4782020-11-20,[93]
4782020-11-21,[130]
9252020-09-06,"[12, 169]"
5072020-11-20,[76]
5072020-11-23,[18]
18782020-10-01,[154]
2422020-11-23,[76]
15562020-11-22,"[93, 169]"
2422020-11-21,"[107, 160]"
15562020-11-20,[134]
2422020-11-27,[76]
2422020-11-26,"[1, 18]"
15562020-11-25,[128]
15562020-11-24,[12]
15562020-11-29,[128]
15562020-11-28,"[128, 185]"
15112020-10-22,[169]
172020-09-25,"[2, 123]"
292020-11-26,[2]
12392020-10-23,[134]
10292020-11-28,"[22, 168]"
10292020-11-29,[141]
10292020-11-24,[141]
10292020-11-25,[107]
10292020-11-27,"[134, 169]"
10292020-11-20,[135]
10292020-11-21,[128]
10292020-11-23,"[93, 107, 128, 134]"
9792020-11-13,[134]
10842020-09-25,[140]
9792020-11-12,[20]
2072020-10-04,"[2, 179]"
9792020-11-11,[138]
3282020-11-04,[169]
19572020-09-29,[26]
19572020-09-28,[76]
9792020-11-17,[135]
19572020-09-21,"[76, 93, 128, 169]"
19572020-09-20,[128]
19572020-09-27,[107]
19572020-09-26,[169]
2242020-10-10,[123]
7412020-11-02,[134]
7412020-11-01,"[14, 22]"
7412020-11-07,[128]
7412020-11-06,[124]
11982020-11-21,[134]
9342020-11-12,"[151, 164]"
7412020-11-09,[130]
9792020-11-14,[93]
10492020-10-27,[134]
6142020-08-18,[16]
11182020-09-09,"[128, 163]"
7832020-08-18,"[140, 159]"
7832020-08-19,"[148, 154]"
7832020-08-17,"[128, 139]"
9792020-11-19,[128]
3912020-09-27,"[76, 146, 151, 177]"
