0,1,2
frozenset(['F2']),0.2917205049,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['F2']), confidence=0.2917205049199881, lift=1.0)]"
frozenset(['F3']),0.2741402445,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['F3']), confidence=0.27414024450849817, lift=1.0)]"
frozenset(['23H']),0.2166037173,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['23H']), confidence=0.21660371732432163, lift=1.0)]"
frozenset(['22H']),0.1790743134,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['22H']), confidence=0.17907431335519994, lift=1.0)]"
frozenset(['F4']),0.1776538117,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['F4']), confidence=0.17765381174833517, lift=1.0)]"
frozenset(['00H']),0.1685427227,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['00H']), confidence=0.16854272272471257, lift=1.0)]"
frozenset(['20H']),0.1391139052,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['20H']), confidence=0.13911390517841168, lift=1.0)]"
frozenset(['21H']),0.1295058477,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['21H']), confidence=0.12950584766259152, lift=1.0)]"
frozenset(['F1']),0.1071836796,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['F1']), confidence=0.10718367955471624, lift=1.0)]"
frozenset([128]),0.0879592817,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([128]), confidence=0.0879592817148726, lift=1.0)]"
frozenset(['F0']),0.0873836265,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['F0']), confidence=0.08738362654474373, lift=1.0)]"
frozenset(['17H']),0.0870688798,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['17H']), confidence=0.08706887983301859, lift=1.0)]"
frozenset([154]),0.0865346387,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([154]), confidence=0.08653463870390617, lift=1.0)]"
"frozenset(['F2', '23H'])",0.0631729782,"[OrderedStatistic(items_base=frozenset(['23H']), items_add=frozenset(['F2']), confidence=0.2916523268708654, lift=0.9997662898288847), OrderedStatistic(items_base=frozenset(['F2']), items_add=frozenset(['23H']), confidence=0.21655309483248156, lift=0.9997662898288847)]"
"frozenset(['F3', '23H'])",0.0625641918,"[OrderedStatistic(items_base=frozenset(['23H']), items_add=frozenset(['F3']), confidence=0.28884172689380905, lift=1.0536275963847226), OrderedStatistic(items_base=frozenset(['F3']), items_add=frozenset(['23H']), confidence=0.2282196540524209, lift=1.0536275963847226)]"
