ComboCode,ComboName,Favoured,NewPrice,Support
"[151, 177]","['Butter Naan', 'CHILLY CHICKEN ']",LHFR,96.3,0.00290949487202
"[151, 166]","['Butter Naan', 'CHILLI PANEER']",LLFR,87.3,0.00288965740698
"[2, 179]","['Veg Petty', 'MIX JUICE']",LLFR,27.9,0.00189117166681
"[154, 140]","['Ice Cream Shake', 'Egg Rice']",HLFR,43.2,0.00176553438825
"[128, 159]","['Chese Toast', 'MYCAN']",HLFR,40.5,0.00138201006421
"[128, 140]","['Chese Toast', 'Egg Rice']",HLFR,45.9,0.00134233513413
"[18, 154]","['DAIRY MILK SILKY', 'Ice Cream Shake']",LHRF,69.3,0.0013224976691
"[132, 154]","['Onion Uttapam', 'Ice Cream Shake']",LHRF,38.7,0.00122331034392
"[18, 76]","['DAIRY MILK SILKY', 'COKE MIX 600 ML']",LHRF,79.2,0.00113734799542
"[128, 160]","['Chese Toast', 'BHELPURI']",HLFR,45.0,0.00112412301873
"[76, 140]","['COKE MIX 600 ML', 'Egg Rice']",HLFR,53.1,0.00111089804204
"[76, 100]","['COKE MIX 600 ML', 'DUKE WAFFY BISCUIT']",HLFR,61.2,0.00107122311197
"[128, 100]","['Chese Toast', 'DUKE WAFFY BISCUIT']",HLFR,54.0,0.00106461062362
"[154, 21]","['Ice Cream Shake', 'BOURNVILLE']",HLFR,46.8,0.00104477315859
"[128, 25]","['Chese Toast', 'CHCO PIE']",HLFR,31.5,0.00102493569355
"[25, 76]","['CHCO PIE', 'COKE MIX 600 ML']",LHRF,38.7,0.00101832320521
"[76, 178]","['COKE MIX 600 ML', 'CHI.PASTA']",HLFR,65.7,0.00101171071686
"[128, 132]","['Chese Toast', 'Onion Uttapam']",HLFR,41.4,0.00100509822851
"[18, 169]","['DAIRY MILK SILKY', 'PULPY ORANGE']",LHRF,72.0,0.00100509822851
"[128, 21]","['Chese Toast', 'BOURNVILLE']",HLFR,49.5,0.000998485740169
"[169, 140]","['PULPY ORANGE', 'Egg Rice']",HLFR,45.9,0.000991873251823
"[25, 154]","['CHCO PIE', 'Ice Cream Shake']",LHRF,28.8,0.000991873251823
"[160, 107]","['BHELPURI', 'BINOG CHIP @10']",LHRF,31.5,0.000972035786787
"[154, 157]","['Ice Cream Shake', 'SLICE 600ML']",HLFR,48.6,0.000972035786787
