ComboCode,ComboName,Favoured,NewPrice,Support
"[146, 151]","['Butter Chicken', 'Butter Naan']",HL,87.3,0.0291941360453
"[151, 164]","['Butter Naan', 'KADHAI PANEER']",LH,83.7,0.0244662068783
"[128, 154]","['Chese Toast', 'Ice Cream Shake']",HH,42.3,0.0216162244014
"[2, 123]","['Veg Petty', 'Pastry']",LL,14.4,0.0143094247796
"[128, 76]","['Chese Toast', 'COKE MIX 600 ML']",HH,52.2,0.0097534203096
"[128, 169]","['Chese Toast', 'PULPY ORANGE']",HH,45.0,0.00836479775704
"[154, 134]","['Ice Cream Shake', 'Plain Maggi']",HL,33.3,0.00808707324653
"[128, 134]","['Chese Toast', 'Plain Maggi']",HL,36.0,0.00727373718004
"[154, 169]","['Ice Cream Shake', 'PULPY ORANGE']",HH,42.3,0.00653313848534
"[151, 76]","['Butter Naan', 'COKE MIX 600 ML']",LH,40.5,0.00617606411469
"[76, 154]","['COKE MIX 600 ML', 'Ice Cream Shake']",HH,49.5,0.00599752692936
"[130, 154]","['Masala Dosa', 'Ice Cream Shake']",HH,38.7,0.00597768946432
"[151, 154]","['Butter Naan', 'Ice Cream Shake']",LH,30.6,0.00588511462749
"[128, 130]","['Chese Toast', 'Masala Dosa']",HH,41.4,0.00488001639897
"[151, 148]","['Butter Naan', 'Tandury Chicken 1/2']",LH,91.8,0.00486017893393
"[128, 107]","['Chese Toast', 'BINOG CHIP @10']",HH,31.5,0.00456261695839
"[142, 154]","['Chicken Sandwich', 'Ice Cream Shake']",HH,42.3,0.00452955451666
"[128, 155]","['Chese Toast', 'PEPSI 600ML']",HL,46.8,0.00442375470313
"[76, 169]","['COKE MIX 600 ML', 'PULPY ORANGE']",HH,52.2,0.0042584424945
"[12, 154]","['Pasta', 'Ice Cream Shake']",HH,46.8,0.00415264268097
"[76, 134]","['COKE MIX 600 ML', 'Plain Maggi']",HL,43.2,0.00400716793737
"[128, 156]","['Chese Toast', 'DEW MIX']",HH,49.5,0.00396749300729
"[138, 154]","['Paneer Franky', 'Ice Cream Shake']",HH,39.6,0.00384846821707
"[76, 142]","['COKE MIX 600 ML', 'Chicken Sandwich']",HH,52.2,0.00384846821707
"[130, 134]","['Masala Dosa', 'Plain Maggi']",HL,32.4,0.00375589338024
"[169, 134]","['PULPY ORANGE', 'Plain Maggi']",HL,36.0,0.00363025610167
"[154, 135]","['Ice Cream Shake', 'Fried Maggi']",HL,38.7,0.00353106877649
"[76, 107]","['COKE MIX 600 ML', 'BINOG CHIP @10']",HH,38.7,0.00347155638138
"[124, 154]","['Chese Burger', 'Ice Cream Shake']",HH,42.3,0.00334591910282
"[128, 138]","['Chese Toast', 'Paneer Franky']",HH,42.3,0.00327979421936
"[154, 156]","['Ice Cream Shake', 'DEW MIX']",HH,46.8,0.00324673177764
"[128, 12]","['Chese Toast', 'Pasta']",HH,49.5,0.00314754445245
"[128, 151]","['Chese Toast', 'Butter Naan']",HL,33.3,0.00309464454569
"[107, 154]","['BINOG CHIP @10', 'Ice Cream Shake']",HH,28.8,0.00301529468554
"[151, 169]","['Butter Naan', 'PULPY ORANGE']",LH,33.3,0.00292933233705
"[2, 169]","['Veg Petty', 'PULPY ORANGE']",LH,29.7,0.00292271984871
"[155, 154]","['PEPSI 600ML', 'Ice Cream Shake']",LH,44.1,0.00292271984871
"[151, 177]","['Butter Naan', 'CHILLY CHICKEN ']",LH,96.3,0.00290949487202
"[151, 166]","['Butter Naan', 'CHILLI PANEER']",LL,87.3,0.00288965740698
"[164, 154]","['KADHAI PANEER', 'Ice Cream Shake']",HH,92.7,0.00284336998856
"[146, 76]","['Butter Chicken', 'COKE MIX 600 ML']",HH,106.2,0.00276402012841
"[142, 169]","['Chicken Sandwich', 'PULPY ORANGE']",HH,45.0,0.00275079515172
"[76, 130]","['COKE MIX 600 ML', 'Masala Dosa']",HH,48.6,0.00268467026827
"[151, 155]","['Butter Naan', 'PEPSI 600ML']",LL,35.1,0.00268467026827
"[107, 169]","['BINOG CHIP @10', 'PULPY ORANGE']",HH,31.5,0.00267144529158
"[151, 164, 154]","['Butter Naan', 'KADHAI PANEER', 'Ice Cream Shake']",LHH,107.333333333,0.00263838284985
"[15, 154]","['DAIRY MILK@35', 'Ice Cream Shake']",LH,51.3,0.00257887045474
"[76, 148]","['COKE MIX 600 ML', 'Tandury Chicken 1/2']",HH,110.7,0.00255242050136
"[146, 151, 76]","['Butter Chicken', 'Butter Naan', 'COKE MIX 600 ML']",HLH,121.333333333,0.00253258303632
"[128, 135]","['Chese Toast', 'Fried Maggi']",HL,41.4,0.00249952059459
"[128, 74]","['Chese Toast', 'COKE CAN 300 ML']",HL,45.0,0.00235404585099
"[76, 141]","['COKE MIX 600 ML', 'Chicken Rice']",HL,65.7,0.00227469599085
"[130, 169]","['Masala Dosa', 'PULPY ORANGE']",HH,41.4,0.00225485852581
"[154, 148]","['Ice Cream Shake', 'Tandury Chicken 1/2']",HH,100.8,0.00222840857243
"[146, 164]","['Butter Chicken', 'KADHAI PANEER']",HH,149.4,0.00220195861905
"[164, 76]","['KADHAI PANEER', 'COKE MIX 600 ML']",HH,102.6,0.00215567120063
"[139, 154]","['Veg Rice', 'Ice Cream Shake']",LH,38.7,0.00213583373559
"[129, 154]","['Plain Dosa', 'Ice Cream Shake']",LH,34.2,0.00207632134048
"[146, 151, 164]","['Butter Chicken', 'Butter Naan', 'KADHAI PANEER']",HLH,166.133333333,0.00204325889876
"[146, 154]","['Butter Chicken', 'Ice Cream Shake']",HH,96.3,0.00203003392207
"[76, 2]","['COKE MIX 600 ML', 'Veg Petty']",HL,36.9,0.00202342143372
"[76, 108]","['COKE MIX 600 ML', 'BINOG CHIP @20']",HH,47.7,0.00201680894537
"[151, 164, 76]","['Butter Naan', 'KADHAI PANEER', 'COKE MIX 600 ML']",LHH,117.6,0.00200358396868
"[128, 108]","['Chese Toast', 'BINOG CHIP @20']",HH,40.5,0.00200358396868
"[128, 139]","['Chese Toast', 'Veg Rice']",HL,41.4,0.00191100913185
"[151, 156]","['Butter Naan', 'DEW MIX']",LH,37.8,0.0019043966435
"[2, 179]","['Veg Petty', 'MIX JUICE']",LL,27.9,0.00189117166681
"[146, 151, 154]","['Butter Chicken', 'Butter Naan', 'Ice Cream Shake']",HLH,111.066666667,0.00189117166681
"[128, 15]","['Chese Toast', 'DAIRY MILK@35']",HL,54.0,0.00187794669012
"[128, 170]","['Chese Toast', 'REAL ']",HH,40.5,0.00185810922508
"[154, 161]","['Ice Cream Shake', 'SINGLE SCOOP']",HL,30.6,0.00184488424839
"[151, 130]","['Butter Naan', 'Masala Dosa']",LH,29.7,0.00184488424839
"[142, 134]","['Chicken Sandwich', 'Plain Maggi']",HL,36.0,0.00183827176005
"[76, 12]","['COKE MIX 600 ML', 'Pasta']",HH,56.7,0.00182504678336
"[12, 169]","['Pasta', 'PULPY ORANGE']",HH,49.5,0.00181182180666
"[76, 15]","['COKE MIX 600 ML', 'DAIRY MILK@35']",HL,61.2,0.00177875936494
"[154, 140]","['Ice Cream Shake', 'Egg Rice']",HL,43.2,0.00176553438825
"[130, 135]","['Masala Dosa', 'Fried Maggi']",HL,37.8,0.0017589218999
"[15, 169]","['DAIRY MILK@35', 'PULPY ORANGE']",LH,54.0,0.00175230941155
"[151, 134]","['Butter Naan', 'Plain Maggi']",LL,24.3,0.00173908443486
"[154, 141]","['Ice Cream Shake', 'Chicken Rice']",HL,55.8,0.00173247194652
"[107, 134]","['BINOG CHIP @10', 'Plain Maggi']",HL,22.5,0.00172585945817
"[169, 22]","['PULPY ORANGE', 'SNICKERS SNACK ']",HL,36.0,0.00171263448148
"[128, 26]","['Chese Toast', 'CAKE SANDWICH']",HL,27.0,0.00171263448148
"[169, 156]","['PULPY ORANGE', 'DEW MIX']",HH,49.5,0.00170602199314
"[146, 148]","['Butter Chicken', 'Tandury Chicken 1/2']",HH,157.5,0.0016861845281
"[156, 134]","['DEW MIX', 'Plain Maggi']",HL,40.5,0.00165312208637
"[128, 93]","['Chese Toast', 'MAZZA PET 600 ML']",HL,51.3,0.00164650959803
"[154, 22]","['Ice Cream Shake', 'SNICKERS SNACK ']",HL,33.3,0.00164650959803
"[76, 93]","['COKE MIX 600 ML', 'MAZZA PET 600 ML']",HL,58.5,0.00163328462134
"[124, 169]","['Chese Burger', 'PULPY ORANGE']",HH,45.0,0.00160683466795
"[2, 107]","['Veg Petty', 'BINOG CHIP @10']",LH,16.2,0.00159360969126
"[76, 138]","['COKE MIX 600 ML', 'Paneer Franky']",HH,49.5,0.00159360969126
"[128, 142]","['Chese Toast', 'Chicken Sandwich']",HH,45.0,0.00159360969126
"[155, 156]","['PEPSI 600ML', 'DEW MIX']",LH,51.3,0.00159360969126
"[155, 134]","['PEPSI 600ML', 'Plain Maggi']",LL,37.8,0.00154732227284
"[93, 154]","['MAZZA PET 600 ML', 'Ice Cream Shake']",LH,48.6,0.00152087231946
"[108, 154]","['BINOG CHIP @20', 'Ice Cream Shake']",HH,37.8,0.00150103485443
"[138, 169]","['Paneer Franky', 'PULPY ORANGE']",HH,42.3,0.00149442236608
"[128, 141]","['Chese Toast', 'Chicken Rice']",HL,58.5,0.00148119738939
"[76, 22]","['COKE MIX 600 ML', 'SNICKERS SNACK ']",HL,43.2,0.00147458490104
"[138, 134]","['Paneer Franky', 'Plain Maggi']",HL,33.3,0.00147458490104
"[155, 148]","['PEPSI 600ML', 'Tandury Chicken 1/2']",LH,105.3,0.0014679724127
"[76, 139]","['COKE MIX 600 ML', 'Veg Rice']",HL,48.6,0.00146135992435
"[151, 139]","['Butter Naan', 'Veg Rice']",LL,29.7,0.00146135992435
"[146, 151, 148]","['Butter Chicken', 'Butter Naan', 'Tandury Chicken 1/2']",HLH,174.533333333,0.00145474743601
"[128, 22]","['Chese Toast', 'SNICKERS SNACK ']",HL,36.0,0.00144813494766
"[108, 169]","['BINOG CHIP @20', 'PULPY ORANGE']",HH,40.5,0.00144152245932
"[139, 169]","['Veg Rice', 'PULPY ORANGE']",LH,41.4,0.00142168499428
"[128, 154, 134]","['Chese Toast', 'Ice Cream Shake', 'Plain Maggi']",HHL,57.8666666667,0.00140846001759
"[128, 129]","['Chese Toast', 'Plain Dosa']",HL,36.9,0.0013952350409
