0,1,2
frozenset(['128']),0.1365478843,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['128']), confidence=0.13654788433435386, lift=1.0)]"
frozenset(['154']),0.1347360625,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['154']), confidence=0.1347360625276898, lift=1.0)]"
frozenset(['76']),0.0891495679,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['76']), confidence=0.08914956787388663, lift=1.0)]"
frozenset(['169']),0.0809434698,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['169']), confidence=0.08094346983713441, lift=1.0)]"
frozenset(['151']),0.0779612376,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['151']), confidence=0.07796123759331874, lift=1.0)]"
frozenset(['134']),0.0737160201,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['134']), confidence=0.07371602007551462, lift=1.0)]"
frozenset(['2']),0.061258092,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['2']), confidence=0.061258092032612795, lift=1.0)]"
frozenset(['130']),0.052212208,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['130']), confidence=0.05221220797598344, lift=1.0)]"
frozenset(['142']),0.0423199254,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['142']), confidence=0.042319925411131463, lift=1.0)]"
frozenset(['107']),0.0377969834,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['107']), confidence=0.037796983382816784, lift=1.0)]"
frozenset(['146']),0.0350594132,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['146']), confidence=0.03505941320778422, lift=1.0)]"
frozenset(['156']),0.0333798412,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['156']), confidence=0.033379841168029944, lift=1.0)]"
frozenset(['155']),0.0326789174,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['155']), confidence=0.03267891740340808, lift=1.0)]"
frozenset(['164']),0.0300934345,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['164']), confidence=0.030093434460321762, lift=1.0)]"
frozenset(['138']),0.0300206971,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['138']), confidence=0.03002069708852138, lift=1.0)]"
"frozenset(['146', '151'])",0.029194136,"[OrderedStatistic(items_base=frozenset(['146']), items_add=frozenset(['151']), confidence=0.8327046397585818, lift=10.681008478884696), OrderedStatistic(items_base=frozenset(['151']), items_add=frozenset(['146']), confidence=0.3744698897370653, lift=10.681008478884696)]"
frozenset(['123']),0.0282221003,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['123']), confidence=0.028222100258548294, lift=1.0)]"
frozenset(['12']),0.0276402013,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['12']), confidence=0.027640201284145238, lift=1.0)]"
frozenset(['148']),0.0253655053,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['148']), confidence=0.02536550529329692, lift=1.0)]"
frozenset(['135']),0.0245058818,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['135']), confidence=0.024505881808383312, lift=1.0)]"
"frozenset(['151', '164'])",0.0244662069,"[OrderedStatistic(items_base=frozenset(['151']), items_add=frozenset(['164']), confidence=0.3138252756573367, lift=10.428363571167518), OrderedStatistic(items_base=frozenset(['164']), items_add=frozenset(['151']), confidence=0.8130081300813008, lift=10.428363571167518)]"
frozenset(['124']),0.0234743336,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['124']), confidence=0.023474333626486984, lift=1.0)]"
"frozenset(['128', '154'])",0.0216162244,"[OrderedStatistic(items_base=frozenset(['128']), items_add=frozenset(['154']), confidence=0.15830508474576271, lift=1.1749273488916838), OrderedStatistic(items_base=frozenset(['154']), items_add=frozenset(['128']), confidence=0.16043384373773067, lift=1.1749273488916838)]"
frozenset(['141']),0.0211533502,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['141']), confidence=0.021153350217220243, lift=1.0)]"
frozenset(['15']),0.0204656514,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['15']), confidence=0.020465651429289355, lift=1.0)]"
frozenset(['139']),0.0197977901,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['139']), confidence=0.019797790106394937, lift=1.0)]"
frozenset(['170']),0.018726567,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['170']), confidence=0.018726566994425674, lift=1.0)]"
frozenset(['26']),0.0186009297,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['26']), confidence=0.018600929715861376, lift=1.0)]"
frozenset(['22']),0.0185877047,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['22']), confidence=0.0185877047391704, lift=1.0)]"
frozenset(['74']),0.0184356175,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['74']), confidence=0.018435617507224143, lift=1.0)]"
frozenset(['108']),0.0182967553,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['108']), confidence=0.018296755251968867, lift=1.0)]"
frozenset(['129']),0.0179991933,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['129']), confidence=0.01799919327642185, lift=1.0)]"
frozenset(['188']),0.017900006,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['188']), confidence=0.01790000595123951, lift=1.0)]"
frozenset(['93']),0.0173974568,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['93']), confidence=0.017397456836982326, lift=1.0)]"
frozenset(['161']),0.0164584835,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['161']), confidence=0.016458483491922846, lift=1.0)]"
frozenset(['140']),0.0150698609,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['140']), confidence=0.015069860939370095, lift=1.0)]"
"frozenset(['2', '123'])",0.0143094248,"[OrderedStatistic(items_base=frozenset(['123']), items_add=frozenset(['2']), confidence=0.507029053420806, lift=8.276931856625115), OrderedStatistic(items_base=frozenset(['2']), items_add=frozenset(['123']), confidence=0.23359240069084627, lift=8.276931856625115)]"
frozenset(['25']),0.012742265,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['25']), confidence=0.012742265041757864, lift=1.0)]"
frozenset(['159']),0.0113007426,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['159']), confidence=0.011300742582441198, lift=1.0)]"
frozenset(['100']),0.0104146691,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['100']), confidence=0.010414669144145633, lift=1.0)]"
frozenset(['160']),0.0103816067,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['160']), confidence=0.010381606702418188, lift=1.0)]"
frozenset(['21']),0.0103551567,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['21']), confidence=0.01035515674903623, lift=1.0)]"
frozenset(['1']),0.0102493569,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['1']), confidence=0.010249356935508401, lift=1.0)]"
frozenset(['18']),0.0101303321,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['18']), confidence=0.010130332145289593, lift=1.0)]"
"frozenset(['128', '76'])",0.0097534203,"[OrderedStatistic(items_base=frozenset(['128']), items_add=frozenset(['76']), confidence=0.07142857142857144, lift=0.801221734799839), OrderedStatistic(items_base=frozenset(['76']), items_add=frozenset(['128']), confidence=0.10940513276961875, lift=0.8012217347998389)]"
frozenset(['132']),0.0094227959,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['132']), confidence=0.00942279589232224, lift=1.0)]"
frozenset(['178']),0.0089466967,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['178']), confidence=0.008946696731447011, lift=1.0)]"
frozenset(['187']),0.0088276719,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['187']), confidence=0.008827671941228203, lift=1.0)]"
frozenset(['193']),0.008801222,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['193']), confidence=0.008801221987846247, lift=1.0)]"
frozenset(['157']),0.0085631724,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['157']), confidence=0.008563172407408632, lift=1.0)]"
frozenset(['14']),0.0085565599,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['14']), confidence=0.008556559919063143, lift=1.0)]"
"frozenset(['128', '169'])",0.0083647978,"[OrderedStatistic(items_base=frozenset(['128']), items_add=frozenset(['169']), confidence=0.0612590799031477, lift=0.7568131194079833), OrderedStatistic(items_base=frozenset(['169']), items_add=frozenset(['128']), confidence=0.10334123029164285, lift=0.7568131194079835)]"
"frozenset(['154', '134'])",0.0080870732,"[OrderedStatistic(items_base=frozenset(['134']), items_add=frozenset(['154']), confidence=0.10970577682095443, lift=0.8142272734028326), OrderedStatistic(items_base=frozenset(['154']), items_add=frozenset(['134']), confidence=0.06002159403219474, lift=0.8142272734028326)]"
"frozenset(['128', '134'])",0.0072737372,"[OrderedStatistic(items_base=frozenset(['128']), items_add=frozenset(['134']), confidence=0.053268765133171914, lift=0.7226212847438515), OrderedStatistic(items_base=frozenset(['134']), items_add=frozenset(['128']), confidence=0.0986724076067456, lift=0.7226212847438513)]"
frozenset(['20']),0.0072142248,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['20']), confidence=0.007214224784928816, lift=1.0)]"
frozenset(['173']),0.0071877748,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['173']), confidence=0.007187774831546859, lift=1.0)]"
frozenset(['179']),0.0067381256,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['179']), confidence=0.006738125624053588, lift=1.0)]"
"frozenset(['154', '169'])",0.0065331385,"[OrderedStatistic(items_base=frozenset(['154']), items_add=frozenset(['169']), confidence=0.04848841774636828, lift=0.599040513631691), OrderedStatistic(items_base=frozenset(['169']), items_add=frozenset(['154']), confidence=0.08071236010129892, lift=0.599040513631691)]"
frozenset(['163']),0.0064339512,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['163']), confidence=0.00643395116016108, lift=1.0)]"
"frozenset(['151', '76'])",0.0061760641,"[OrderedStatistic(items_base=frozenset(['151']), items_add=frozenset(['76']), confidence=0.07921967769296014, lift=0.8886153862801267), OrderedStatistic(items_base=frozenset(['76']), items_add=frozenset(['151']), confidence=0.06927755525886367, lift=0.8886153862801267)]"
"frozenset(['76', '154'])",0.0059975269,"[OrderedStatistic(items_base=frozenset(['154']), items_add=frozenset(['76']), confidence=0.044513152728700434, lift=0.4993086763097936), OrderedStatistic(items_base=frozenset(['76']), items_add=frozenset(['154']), confidence=0.06727488503189438, lift=0.49930867630979364)]"
"frozenset(['130', '154'])",0.0059776895,"[OrderedStatistic(items_base=frozenset(['130']), items_add=frozenset(['154']), confidence=0.11448834853090172, lift=0.849723128189033), OrderedStatistic(items_base=frozenset(['154']), items_add=frozenset(['130']), confidence=0.044365920691009024, lift=0.8497231281890328)]"
"frozenset(['151', '154'])",0.0058851146,"[OrderedStatistic(items_base=frozenset(['151']), items_add=frozenset(['154']), confidence=0.07548770144189991, lift=0.5602635257831312), OrderedStatistic(items_base=frozenset(['154']), items_add=frozenset(['151']), confidence=0.043678837848449156, lift=0.5602635257831312)]"
frozenset(['19']),0.0058520522,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['19']), confidence=0.005852052185758023, lift=1.0)]"
frozenset(['177']),0.0056073901,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['177']), confidence=0.005607390116974919, lift=1.0)]"
frozenset(['176']),0.0055015903,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['176']), confidence=0.00550159030344709, lift=1.0)]"
frozenset(['50']),0.0054619154,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['50']), confidence=0.005461915373374155, lift=1.0)]"
frozenset(['171']),0.0049196913,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['171']), confidence=0.004919691329044033, lift=1.0)]"
"frozenset(['128', '130'])",0.0048800164,"[OrderedStatistic(items_base=frozenset(['128']), items_add=frozenset(['130']), confidence=0.03573849878934625, lift=0.6844854905539569), OrderedStatistic(items_base=frozenset(['130']), items_add=frozenset(['128']), confidence=0.09346504559270516, lift=0.6844854905539568)]"
"frozenset(['151', '148'])",0.0048601789,"[OrderedStatistic(items_base=frozenset(['148']), items_add=frozenset(['151']), confidence=0.19160583941605838, lift=2.457706487620958), OrderedStatistic(items_base=frozenset(['151']), items_add=frozenset(['148']), confidence=0.062340966921119595, lift=2.457706487620958)]"
frozenset(['168']),0.0045890669,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['168']), confidence=0.004589066911769568, lift=1.0)]"
"frozenset(['128', '107'])",0.004562617,"[OrderedStatistic(items_base=frozenset(['107']), items_add=frozenset(['128']), confidence=0.12071378586424074, lift=0.8840399575042742), OrderedStatistic(items_base=frozenset(['128']), items_add=frozenset(['107']), confidence=0.03341404358353511, lift=0.8840399575042741)]"
"frozenset(['142', '154'])",0.0045295545,"[OrderedStatistic(items_base=frozenset(['142']), items_add=frozenset(['154']), confidence=0.10703125, lift=0.7943771548022183), OrderedStatistic(items_base=frozenset(['154']), items_add=frozenset(['142']), confidence=0.03361798193953671, lift=0.7943771548022183)]"
"frozenset(['128', '155'])",0.0044237547,"[OrderedStatistic(items_base=frozenset(['128']), items_add=frozenset(['155']), confidence=0.032397094430992736, lift=0.9913760003449211), OrderedStatistic(items_base=frozenset(['155']), items_add=frozenset(['128']), confidence=0.13537029542695264, lift=0.9913760003449211)]"
"frozenset(['76', '169'])",0.0042584425,"[OrderedStatistic(items_base=frozenset(['169']), items_add=frozenset(['76']), confidence=0.052610080875745445, lift=0.5901327637411443), OrderedStatistic(items_base=frozenset(['76']), items_add=frozenset(['169']), confidence=0.04776739356178608, lift=0.5901327637411443)]"
"frozenset(['12', '154'])",0.0041526427,"[OrderedStatistic(items_base=frozenset(['12']), items_add=frozenset(['154']), confidence=0.15023923444976076, lift=1.115063269856835), OrderedStatistic(items_base=frozenset(['154']), items_add=frozenset(['12']), confidence=0.030820573223400077, lift=1.115063269856835)]"
"frozenset(['76', '134'])",0.0040071679,"[OrderedStatistic(items_base=frozenset(['134']), items_add=frozenset(['76']), confidence=0.05435952637244349, lift=0.6097564763223747), OrderedStatistic(items_base=frozenset(['76']), items_add=frozenset(['134']), confidence=0.04494882064975523, lift=0.6097564763223747)]"
"frozenset(['128', '156'])",0.003967493,"[OrderedStatistic(items_base=frozenset(['128']), items_add=frozenset(['156']), confidence=0.029055690072639223, lift=0.8704562111717822), OrderedStatistic(items_base=frozenset(['156']), items_add=frozenset(['128']), confidence=0.11885895404120442, lift=0.8704562111717823)]"
frozenset(['166']),0.003954268,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['166']), confidence=0.003954268030602596, lift=1.0)]"
frozenset(['105']),0.0039145931,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['105']), confidence=0.00391459310052966, lift=1.0)]"
frozenset(['182']),0.0038881431,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['182']), confidence=0.003888143147147703, lift=1.0)]"
"frozenset(['138', '154'])",0.0038484682,"[OrderedStatistic(items_base=frozenset(['138']), items_add=frozenset(['154']), confidence=0.12819383259911896, lift=0.9514441063080172), OrderedStatistic(items_base=frozenset(['154']), items_add=frozenset(['138']), confidence=0.028563015312131918, lift=0.9514441063080172)]"
"frozenset(['76', '142'])",0.0038484682,"[OrderedStatistic(items_base=frozenset(['142']), items_add=frozenset(['76']), confidence=0.09093749999999999, lift=1.0200554211170447), OrderedStatistic(items_base=frozenset(['76']), items_add=frozenset(['142']), confidence=0.04316866933689363, lift=1.0200554211170447)]"
"frozenset(['130', '134'])",0.0037558934,"[OrderedStatistic(items_base=frozenset(['130']), items_add=frozenset(['134']), confidence=0.07193515704154002, lift=0.9758415737562842), OrderedStatistic(items_base=frozenset(['134']), items_add=frozenset(['130']), confidence=0.050950843200574095, lift=0.9758415737562841)]"
frozenset(['167']),0.003683156,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['167']), confidence=0.0036831560084375353, lift=1.0)]"
"frozenset(['169', '134'])",0.0036302561,"[OrderedStatistic(items_base=frozenset(['134']), items_add=frozenset(['169']), confidence=0.04924650161463939, lift=0.6084061100139123), OrderedStatistic(items_base=frozenset(['169']), items_add=frozenset(['134']), confidence=0.04484927701985132, lift=0.6084061100139124)]"
"frozenset(['154', '135'])",0.0035310688,"[OrderedStatistic(items_base=frozenset(['135']), items_add=frozenset(['154']), confidence=0.14409066378845117, lift=1.06942908294384), OrderedStatistic(items_base=frozenset(['154']), items_add=frozenset(['135']), confidence=0.026207302709069492, lift=1.0694290829438398)]"
"frozenset(['76', '107'])",0.0034715564,"[OrderedStatistic(items_base=frozenset(['107']), items_add=frozenset(['76']), confidence=0.09184744576627012, lift=1.030262377672991), OrderedStatistic(items_base=frozenset(['76']), items_add=frozenset(['107']), confidence=0.03894080996884735, lift=1.030262377672991)]"
frozenset(['175']),0.0034384939,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['175']), confidence=0.0034384939396544315, lift=1.0)]"
frozenset(['186']),0.003398819,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['186']), confidence=0.0033988190095814957, lift=1.0)]"
"frozenset(['124', '154'])",0.0033459191,"[OrderedStatistic(items_base=frozenset(['124']), items_add=frozenset(['154']), confidence=0.14253521126760563, lift=1.0578846419703931), OrderedStatistic(items_base=frozenset(['154']), items_add=frozenset(['124']), confidence=0.024833137023949747, lift=1.0578846419703933)]"
