BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating,Hours,Segment,SellingDates,UniqueID
1209,2,1,2020-08-22 01:04:12,8.0,F2057,1,5,01,F2,2020-08-22,12092020-08-22
2,2,3,2020-08-21 16:59:51,8.0,F2266,1,2,16,F2,2020-08-21,22020-08-21
1,2,4,2020-08-21 16:56:37,8.0,F6770,3,2,16,F6,2020-08-21,12020-08-21
15,2,1,2020-08-18 17:46:15,8.0,F0000,1,3,17,F0,2020-08-18,152020-08-18
16,2,1,2020-08-18 17:46:48,8.0,F0000,1,3,17,F0,2020-08-18,162020-08-18
18,2,2,2020-08-20 17:45:14,8.0,F0000,1,1,17,F0,2020-08-20,182020-08-20
23,2,5,2020-08-20 17:49:46,8.0,F0000,1,3,17,F0,2020-08-20,232020-08-20
24,2,1,2020-08-20 17:49:55,8.0,F0000,1,2,17,F0,2020-08-20,242020-08-20
26,2,2,2020-08-20 17:52:49,8.0,F0000,1,2,17,F0,2020-08-20,262020-08-20
30,2,1,2020-08-19 17:26:13,8.0,F0000,1,2,17,F0,2020-08-19,302020-08-19
37,2,1,2020-08-19 17:30:57,8.0,F0000,1,4,17,F0,2020-08-19,372020-08-19
48,2,1,2020-08-19 17:53:25,8.0,F0000,1,3,17,F0,2020-08-19,482020-08-19
49,2,5,2020-08-21 17:34:58,8.0,F0000,1,3,17,F0,2020-08-21,492020-08-21
40,2,2,2020-08-22 17:35:17,8.0,F1307,1,3,17,F1,2020-08-22,402020-08-22
49,2,1,2020-08-19 17:54:17,8.0,F1259,1,3,17,F1,2020-08-19,492020-08-19
51,2,1,2020-08-19 17:58:28,8.0,F1059,1,4,17,F1,2020-08-19,512020-08-19
52,2,2,2020-08-19 17:59:05,8.0,F1426,1,3,17,F1,2020-08-19,522020-08-19
53,2,1,2020-08-22 17:56:35,8.0,F1072,1,3,17,F1,2020-08-22,532020-08-22
1,2,2,2020-08-20 17:02:22,8.0,F2801,1,2,17,F2,2020-08-20,12020-08-20
2,2,1,2020-08-19 17:05:41,8.0,F2009,1,5,17,F2,2020-08-19,22020-08-19
2,2,1,2020-08-20 17:03:31,8.0,F2116,1,3,17,F2,2020-08-20,22020-08-20
3,2,1,2020-08-18 17:24:40,8.0,F2423,1,4,17,F2,2020-08-18,32020-08-18
3,2,1,2020-08-21 17:06:11,8.0,F2009,1,2,17,F2,2020-08-21,32020-08-21
5,2,1,2020-08-21 17:07:10,8.0,F2452,2,1,17,F2,2020-08-21,52020-08-21
10,2,1,2020-08-22 17:20:16,8.0,F2021,1,1,17,F2,2020-08-22,102020-08-22
10,2,2,2020-08-18 17:37:32,8.0,F2423,1,2,17,F2,2020-08-18,102020-08-18
11,2,1,2020-08-21 17:13:32,8.0,F2682,1,4,17,F2,2020-08-21,112020-08-21
11,2,1,2020-08-22 17:20:23,8.0,F2036,1,3,17,F2,2020-08-22,112020-08-22
13,2,1,2020-08-21 17:13:46,8.0,F2452,1,4,17,F2,2020-08-21,132020-08-21
15,2,1,2020-08-22 17:21:44,8.0,F2496,1,2,17,F2,2020-08-22,152020-08-22
16,2,1,2020-08-22 17:23:36,8.0,F2036,1,4,17,F2,2020-08-22,162020-08-22
22,2,4,2020-08-21 17:23:02,8.0,F2528,1,1,17,F2,2020-08-21,222020-08-21
25,2,1,2020-08-19 17:22:55,8.0,F2377,2,4,17,F2,2020-08-19,252020-08-19
32,2,1,2020-08-21 17:28:48,8.0,F2542,1,2,17,F2,2020-08-21,322020-08-21
33,2,1,2020-08-21 17:28:55,8.0,F2509,1,2,17,F2,2020-08-21,332020-08-21
34,2,3,2020-08-19 17:29:28,8.0,F2193,1,1,17,F2,2020-08-19,342020-08-19
35,2,1,2020-08-21 17:30:49,8.0,F2528,1,4,17,F2,2020-08-21,352020-08-21
37,2,2,2020-08-22 17:34:14,8.0,F2423,1,3,17,F2,2020-08-22,372020-08-22
37,2,5,2020-08-21 17:31:17,8.0,F2805,1,2,17,F2,2020-08-21,372020-08-21
41,2,1,2020-08-19 17:35:57,8.0,F2193,1,2,17,F2,2020-08-19,412020-08-19
41,2,1,2020-08-21 17:31:55,8.0,F2738,1,1,17,F2,2020-08-21,412020-08-21
43,2,2,2020-08-21 17:32:33,8.0,F2691,1,1,17,F2,2020-08-21,432020-08-21
44,2,1,2020-08-21 17:32:38,8.0,F2570,1,2,17,F2,2020-08-21,442020-08-21
