BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating
1,1,1,2020-11-22 17:04:46,7.000000,"F2671",2,2
1,2,1,2020-11-08 17:04:09,8.000000,"F1520",1,4
1,2,1,2020-11-10 17:03:29,8.000000,"F2831",1,3
1,2,1,2020-11-11 17:01:39,8.000000,"F1583",1,1
1,2,1,2020-11-12 17:02:46,8.000000,"F3352",1,5
1,2,1,2020-11-13 17:02:00,8.000000,"F2589",1,2
1,2,1,2020-11-18 17:02:04,8.000000,"F2387",1,2
1,2,1,2020-11-20 17:02:37,8.000000,"F2515",1,1
1,2,1,2020-11-28 17:00:17,8.000000,"F2306",1,3
1,2,2,2020-11-01 17:02:13,8.000000,"F2232",1,2
1,2,2,2020-11-04 17:00:50,8.000000,"F2347",1,3
1,2,2,2020-11-05 17:04:16,8.000000,"F3229",1,3
1,2,2,2020-11-06 17:02:56,8.000000,"F1520",1,3
1,2,2,2020-11-07 17:02:37,8.000000,"F2731",1,3
1,2,2,2020-11-14 17:02:22,8.000000,"F1019",2,1
1,2,2,2020-11-16 17:00:17,8.000000,"F3081",1,1
1,2,2,2020-11-17 17:05:14,8.000000,"F3143",1,2
1,2,2,2020-11-19 17:06:46,8.000000,"F3765",1,2
1,2,2,2020-11-29 17:01:26,8.000000,"F2720",1,3
1,2,4,2020-11-09 17:04:46,8.000000,"F3667",1,1
1,25,2,2020-11-25 18:46:11,10.000000,"F3600",1,3
1,25,10,2020-11-25 18:46:11,10.000000,"F3600",2,3
1,48,1,2020-11-21 16:57:04,10.000000,"F0000",1,2
1,93,1,2020-11-23 17:01:11,32.000000,"F3722",2,4
1,100,1,2020-11-18 17:02:04,35.000000,"F2387",3,1
1,107,1,2020-11-19 17:06:46,10.000000,"F3765",2,3
1,107,1,2020-11-20 17:02:37,10.000000,"F2515",2,5
1,107,2,2020-11-02 17:05:05,10.000000,"F2030",1,2
1,107,15,2020-11-25 18:46:11,10.000000,"F3600",3,4
1,123,1,2020-11-05 17:04:16,8.000000,"F3229",2,2
1,123,1,2020-11-10 17:03:29,8.000000,"F2831",2,4
1,123,1,2020-11-11 17:01:39,8.000000,"F1583",2,2
1,123,1,2020-11-12 17:02:46,8.000000,"F3352",2,3
1,123,1,2020-11-13 17:02:00,8.000000,"F2589",2,4
1,123,1,2020-11-18 17:02:04,8.000000,"F2387",2,2
