BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating
1,2,1,2020-09-04 16:54:41,8.000000,"F2858",2,1
1,2,1,2020-09-06 16:58:39,8.000000,"F2736",3,2
1,2,1,2020-09-10 17:02:23,8.000000,"F2239",1,2
1,2,1,2020-09-13 16:56:57,8.000000,"F1376",1,1
1,2,1,2020-09-17 17:04:47,8.000000,"F3527",1,2
1,2,1,2020-09-20 17:00:47,8.000000,"F2814",4,1
1,2,1,2020-09-20 17:00:47,8.000000,"F2814",6,2
1,2,1,2020-09-22 16:59:36,8.000000,"F3293",1,5
1,2,2,2020-09-05 17:02:11,8.000000,"F2185",1,1
1,2,2,2020-09-07 17:05:27,8.000000,"F1059",1,5
1,2,2,2020-09-11 17:04:37,8.000000,"F4233",1,3
1,2,2,2020-09-16 17:02:20,8.000000,"F3859",1,4
1,2,2,2020-09-19 16:52:46,8.000000,"F0000",1,5
1,2,2,2020-09-20 17:00:47,8.000000,"F2814",3,2
1,2,2,2020-09-21 16:59:15,8.000000,"F3781",1,3
1,2,2,2020-09-24 16:59:55,8.000000,"F2347",1,4
1,2,2,2020-09-26 17:05:24,8.000000,"F3260",1,2
1,2,2,2020-09-27 17:01:29,8.000000,"F4362",1,3
1,2,2,2020-09-28 16:59:14,8.000000,"F2179",1,1
1,14,1,2020-09-12 17:03:22,10.000000,"F4747",1,4
1,15,1,2020-09-09 17:01:55,35.000000,"F5428",2,4
1,20,1,2020-09-09 17:01:55,25.000000,"F5428",3,2
1,21,1,2020-09-14 17:03:11,30.000000,"F3427",2,5
1,22,2,2020-09-09 17:01:55,15.000000,"F5428",4,5
1,25,1,2020-09-15 17:06:04,10.000000,"F3600",1,3
1,25,6,2020-09-03 17:03:05,10.000000,"F3034",1,2
1,50,1,2020-09-14 17:03:11,20.000000,"F3427",1,5
1,50,3,2020-09-03 17:03:05,20.000000,"F3034",4,2
1,74,1,2020-09-25 17:02:41,25.000000,"F2679",3,2
1,76,1,2020-09-09 17:01:55,30.000000,"F5428",1,5
1,93,1,2020-09-12 17:03:22,32.000000,"F4747",2,5
1,100,1,2020-09-17 17:04:47,35.000000,"F3527",3,1
1,105,1,2020-09-08 17:02:54,25.000000,"F4747",1,3
1,105,1,2020-09-26 17:05:24,25.000000,"F3260",2,3
1,108,1,2020-09-25 17:02:41,20.000000,"F2679",1,2
1,108,3,2020-09-03 17:03:05,20.000000,"F3034",2,3
1,123,1,2020-09-04 16:54:41,8.000000,"F2858",1,4
1,123,1,2020-09-06 16:58:39,8.000000,"F2736",2,2
1,123,1,2020-09-10 17:02:23,8.000000,"F2239",2,1
1,123,1,2020-09-15 17:06:04,8.000000,"F3600",2,5
1,123,1,2020-09-17 17:04:47,8.000000,"F3527",2,5
1,123,1,2020-09-20 17:00:47,8.000000,"F2814",1,5
1,123,1,2020-09-20 17:00:47,8.000000,"F2814",2,2
1,123,1,2020-09-21 16:59:15,8.000000,"F3781",2,5
1,123,1,2020-09-25 17:02:41,8.000000,"F2679",2,4
1,123,1,2020-09-27 17:01:29,8.000000,"F4362",2,1
1,123,2,2020-09-02 17:02:53,8.000000,"F0000",1,4
1,123,2,2020-09-03 18:20:09,8.000000,"F4479",1,5
1,123,2,2020-09-20 17:00:47,8.000000,"F2814",5,2
1,123,2,2020-09-22 16:59:36,8.000000,"F3293",2,2
1,155,1,2020-09-18 17:08:30,27.000000,"F2754",1,1
1,156,1,2020-09-06 16:58:39,30.000000,"F2736",1,3
1,168,1,2020-09-27 17:01:29,27.000000,"F4362",3,1
1,169,1,2020-09-01 17:07:47,25.000000,"F4190",1,4
1,169,1,2020-09-03 17:03:05,25.000000,"F3034",3,4
1,169,1,2020-09-15 17:06:04,25.000000,"F3600",3,4
1,169,1,2020-09-23 17:01:57,25.000000,"F2297",1,2
2,2,1,2020-09-10 17:02:27,8.000000,"F4147",1,2
2,2,1,2020-09-11 17:05:22,8.000000,"F2040",1,3
2,2,1,2020-09-12 17:03:50,8.000000,"F4819",1,4
2,2,1,2020-09-13 16:57:24,8.000000,"F0000",1,3
2,2,1,2020-09-14 17:03:34,8.000000,"F2380",2,2
2,2,1,2020-09-17 17:05:57,8.000000,"F3385",1,4
2,2,1,2020-09-23 17:02:06,8.000000,"F2542",1,4
2,2,1,2020-09-23 17:02:06,8.000000,"F2542",2,2
2,2,1,2020-09-25 17:03:06,8.000000,"F2502",2,3
2,2,1,2020-09-28 16:59:39,8.000000,"F2139",1,1
2,2,2,2020-09-05 17:02:57,8.000000,"F2345",1,1
2,2,2,2020-09-06 17:00:17,8.000000,"F2736",1,3
2,2,2,2020-09-09 17:03:50,8.000000,"F3530",1,4
2,2,2,2020-09-16 17:02:24,8.000000,"F3587",1,2
2,2,2,2020-09-18 17:08:47,8.000000,"F2454",1,4
2,2,2,2020-09-20 17:01:39,8.000000,"F0000",1,2
2,2,2,2020-09-24 16:59:58,8.000000,"F1366",1,4
2,2,2,2020-09-26 17:05:58,8.000000,"F3549",1,1
2,2,2,2020-09-27 17:01:49,8.000000,"F4705",1,3
2,15,1,2020-09-08 17:03:00,35.000000,"F2652",2,2
2,20,1,2020-09-09 17:03:50,25.000000,"F3530",3,5
2,21,2,2020-09-19 17:02:48,30.000000,"F4868",3,2
2,22,1,2020-09-03 18:21:16,15.000000,"F3865",2,5
2,51,1,2020-09-07 17:06:56,15.000000,"F0000",1,3
2,76,1,2020-09-01 17:09:38,30.000000,"F2682",2,5
2,76,1,2020-09-15 17:07:02,30.000000,"F0000",1,2
2,76,1,2020-09-27 17:01:49,30.000000,"F4705",2,2
2,76,1,2020-09-28 16:59:39,30.000000,"F2139",2,4
2,93,1,2020-09-03 17:03:47,32.000000,"F0000",1,4
